Instance Type,2t/100c (req/sec),4t/200c (req/sec),8t/400c (req/sec),Latency Avg (ms)
c5.2xlarge,101497.31,124333.51,120355.41,3.52
c5a.2xlarge,88833.62,104373.59,96606.62,4.33
c5d.2xlarge,104188.53,124794.63,121365.41,3.50
c5n.2xlarge,100060.91,120916.12,116956.79,3.63
c6g.2xlarge,120322.09,157807.62,161908.65,2.46
c6i.2xlarge,136484.25,166025.21,160873.71,2.70
c6id.2xlarge,135962.51,164635.24,158552.66,2.71
c6in.2xlarge,138225.58,167133.68,163066.97,2.68
c7g.2xlarge,157545.03,203130.19,209327.79,2.05
c7i.2xlarge,178800.10,174500.28,165123.81,2.61
c7i-flex.2xlarge,163153.61,189571.27,190062.31,2.92
c8g.2xlarge,201122.79,246546.06,255804.87,1.75
c8i.2xlarge,235401.42,224607.64,213063.72,2.05
c8i-flex.2xlarge,208956.85,241253.00,242152.77,1.81
m5.2xlarge,91500.41,112123.33,107921.08,3.98
m5a.2xlarge,63051.70,70765.48,72999.52,5.34
m5ad.2xlarge,64629.64,75453.20,72202.91,5.72
m5d.2xlarge,89985.54,108153.92,104660.09,4.07
m6g.2xlarge,118263.53,154869.27,157599.91,2.56
m7g.2xlarge,160504.16,212721.50,221792.42,1.83
m7i-flex.2xlarge,170842.61,160727.81,157795.49,2.92
m8g.2xlarge,221661.99,267462.36,273146.36,1.62
m8i.2xlarge,237295.13,228819.23,220283.39,2.01
r5a.2xlarge,63944.00,77492.21,72061.74,5.60
r5ad.2xlarge,63910.04,77288.08,73323.64,5.58
r6g.2xlarge,123347.38,158932.09,160032.12,2.66
r7g.2xlarge,159501.10,212132.25,219144.93,1.85
r8g.2xlarge,208976.62,267506.80,279823.72,1.47
r8i.2xlarge,234738.17,224558.72,218093.71,1.96
r8i-flex.2xlarge,234849.78,219811.08,213400.30,2.03
