instance,cpu_model,jvm_run1_ms,jvm_run2_ms,jvm_run3_ms,jvm_run4_ms,jvm_run5_ms,jvm_flags_run1_ms,jvm_flags_run2_ms,jvm_flags_run3_ms
c5.2xlarge,"",35,33,34,33,33,33,33,33
c5a.2xlarge,"",35,34,34,34,33,34,33,33
c5d.2xlarge,"",36,37,35,35,35,35,34,35
c5n.2xlarge,"",35,35,36,35,34,34,35,35
c6g.2xlarge,"",34,35,35,35,35,35,34,28
c6gd.2xlarge,"",34,33,33,33,27,32,32,32
c6gn.2xlarge,"",34,33,34,34,33,33,28,34
c6i.2xlarge,"",29,28,28,28,28,27,28,28
c6id.2xlarge,"",28,28,28,27,28,28,27,27
c6in.2xlarge,"",31,30,30,29,30,29,29,29
c7g.2xlarge,"",25,25,25,25,25,25,24,24
c7gd.2xlarge,"",22,27,26,26,26,26,26,25
c7i-flex.2xlarge,"",30,31,31,30,29,30,28,29
c7i.2xlarge,"",30,31,32,31,33,30,30,31
c8g.2xlarge,"",22,22,22,21,21,21,21,21
c8i-flex.2xlarge,"",26,27,25,25,24,25,23,24
c8i.2xlarge,"",24,23,23,23,23,22,22,22
m5.2xlarge,"",39,39,37,38,37,37,35,37
m5a.2xlarge,"",51,50,49,49,50,49,48,49
m5ad.2xlarge,"",50,51,50,49,49,48,48,49
m5d.2xlarge,"",35,35,34,34,33,33,33,33
m5zn.2xlarge,"",29,29,29,29,30,28,28,27
m6g.2xlarge,"",28,33,33,34,33,32,33,33
m6gd.2xlarge,"",33,32,32,33,32,32,31,32
m6i.2xlarge,"",30,29,29,29,29,29,29,28
m6id.2xlarge,"",29,28,28,29,28,28,28,27
m6idn.2xlarge,"",29,28,28,28,29,27,28,29
m6in.2xlarge,"",32,31,31,32,31,30,30,31
m7g.2xlarge,"",28,27,28,27,27,21,28,27
m7gd.2xlarge,"",25,25,25,26,26,25,24,25
m7i-flex.2xlarge,"",31,28,31,30,29,30,28,31
m7i.2xlarge,"",29,30,29,29,31,29,28,29
m8g.2xlarge,"",23,23,23,23,23,17,22,23
m8i.2xlarge,"",24,23,24,24,23,22,23,23
r5.2xlarge,"",41,39,41,40,39,37,37,38
r5a.2xlarge,"",52,50,53,50,51,48,49,50
r5ad.2xlarge,"",53,51,52,53,55,50,48,50
r5b.2xlarge,"",38,36,36,36,36,34,34,33
r5d.2xlarge,"",38,36,38,37,36,35,34,35
r5dn.2xlarge,"",38,37,36,37,37,34,35,35
r5n.2xlarge,"",38,37,37,36,36,35,34,35
r6g.2xlarge,"",38,36,38,37,37,36,37,36
r6gd.2xlarge,"",29,33,33,34,34,33,33,33
r6i.2xlarge,"",48,51,49,41,49,51,47,45
r6id.2xlarge,"",30,30,30,31,30,30,30,30
r7g.2xlarge,"",28,28,27,28,28,26,26,26
r7gd.2xlarge,"",26,26,26,25,25,25,25,25
r7i.2xlarge,"",29,32,31,30,28,28,30,29
r8g.2xlarge,"",22,23,21,17,22,20,20,21
r8i-flex.2xlarge,"",28,26,26,27,25,24,23,24
r8i.2xlarge,"",26,25,25,25,25,24,22,23
