Instance Type,Architecture,Java Version,Avg Time (ms),Min Time (ms),Max Time (ms)
c5.2xlarge,x86_64,21.0.9,585,568,613
c6g.2xlarge,aarch64,21.0.9,707,700,715
c6i.2xlarge,x86_64,21.0.9,518,501,542
c7g.2xlarge,aarch64,21.0.9,550,543,555
c7i.2xlarge,x86_64,21.0.9,544,534,553
c8g.2xlarge,aarch64,21.0.9,404,403,407
c8i.2xlarge,x86_64,21.0.9,400,385,411
c8i.flex.2xlarge,x86_64,21.0.9,452,408,509
m5.2xlarge,x86_64,21.0.9,718,617,782
m6i.2xlarge,x86_64,21.0.9,608,557,660
m7g.2xlarge,aarch64,21.0.9,515,506,520
m8g.2xlarge,aarch64,21.0.9,407,401,418
r7g.2xlarge,aarch64,21.0.9,527,514,535
r8g.2xlarge,aarch64,21.0.9,368,367,370
