Instance Type,CPU Model,Multi-thread (events/sec),Single-thread (events/sec),Latency 95th (ms)
c5.2xlarge,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,3031.44,476.14,2.66
c5a.2xlarge,AMD EPYC 7R32,2586.46,617.71,3.13
c5d.2xlarge,Intel(R) Xeon(R) Platinum 8275CL CPU @ 3.00GHz,3033.64,476.11,2.61
c5n.2xlarge,Intel(R) Xeon(R) Platinum 8124M CPU @ 3.00GHz,2852.59,449.62,2.81
c6g.2xlarge,0x41,8562.36,1072.57,0.94
c6gd.2xlarge,0x41,8328.33,1073.67,0.94
c6gn.2xlarge,0x41,8221.47,1072.05,0.94
c6i.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4780.29,1148.77,1.67
c6id.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4776.45,1148.87,1.67
c6in.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4774.39,1148.14,1.67
c7g.2xlarge,0x41,9034.12,1145.56,0.87
c7gd.2xlarge,0x41,8855.78,1145.59,0.87
c7i.flex.2xlarge,Intel(R) Xeon(R) Platinum 8488C,4713.37,1098.71,1.82
c8g.2xlarge,0x41,9746.95,1250.54,0.80
c8i.flex.2xlarge,Intel(R) Xeon(R) 6975P-C,5362.68,1286.30,1.52
m5.2xlarge,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2761.47,409.92,2.91
m5a.2xlarge,AMD EPYC 7571,2001.17,484.05,4.03
m5ad.2xlarge,AMD EPYC 7571,1989.54,485.39,4.25
m5d.2xlarge,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2659.30,419.53,3.07
m5zn.2xlarge,Intel(R) Xeon(R) Platinum 8252C CPU @ 3.80GHz,3835.38,595.35,2.03
m6g.2xlarge,0x41,8561.81,1074.59,0.94
m6gd.2xlarge,0x41,8211.38,1072.74,0.94
m6i.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4774.80,1148.17,1.67
m6id.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4775.97,1148.70,1.67
m6idn.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4778.01,1148.49,1.67
m6in.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4774.07,1148.46,1.67
m7g.2xlarge,0x41,9141.08,1145.68,0.87
m7gd.2xlarge,0x41,8890.96,1145.49,0.87
m7i.2xlarge,Intel(R) Xeon(R) Platinum 8488C,4453.57,1097.47,1.82
m8g.2xlarge,0x41,9735.43,1250.46,0.80
r5.2xlarge,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2586.73,410.01,3.13
r5a.2xlarge,AMD EPYC 7571,2006.05,484.99,4.03
r5ad.2xlarge,AMD EPYC 7571,2001.80,484.02,4.03
r5b.2xlarge,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2579.41,409.24,3.13
r5d.2xlarge,Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz,2581.95,409.82,3.13
r5dn.2xlarge,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2758.10,409.86,2.91
r5n.2xlarge,Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz,2676.44,422.89,3.02
r6g.2xlarge,0x41,8214.13,1072.45,0.94
r6gd.2xlarge,0x41,8205.00,1073.13,0.94
r6i.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4772.06,1147.43,1.70
r6id.2xlarge,Intel(R) Xeon(R) Platinum 8375C CPU @ 2.90GHz,4772.61,1147.28,1.70
r7g.2xlarge,0x41,8857.45,1145.48,0.87
r7gd.2xlarge,0x41,8848.99,1145.43,0.87
r7i.2xlarge,Intel(R) Xeon(R) Platinum 8488C,5058.37,1222.04,1.64
r8g.2xlarge,0x41,9719.07,1251.42,0.81
c7i.2xlarge,Intel(R) Xeon(R) Platinum 8488C,5211.10,1258.96,1.55
c8i.2xlarge,Intel(R) Xeon(R) 6975P-C,5408.43,1294.17,1.50
m7i-flex.2xlarge,Intel(R) Xeon(R) Platinum 8488C,5040.41,1206.27,1.76
m8i.2xlarge,Intel(R) Xeon(R) 6975P-C,5371.66,1289.52,1.52
r8i.2xlarge,Intel(R) Xeon(R) 6975P-C,5403.27,1293.60,1.50
r8i-flex.2xlarge,Intel(R) Xeon(R) 6975P-C,5349.67,1287.97,1.52
