instance,hourly_price_usd
c5.xlarge,0.192
c5a.xlarge,0.172
c5d.xlarge,0.220
c5n.xlarge,0.244
c6i.xlarge,0.192
c6id.xlarge,0.231
c6in.xlarge,0.2562
c6g.xlarge,0.154
c6gd.xlarge,0.176
c6gn.xlarge,0.195
c7i.xlarge,0.2016
c7i-flex.xlarge,0.19152
c7g.xlarge,0.1632
c7gd.xlarge,0.2079
c8i.xlarge,0.21168
c8i-flex.xlarge,0.2011
c8g.xlarge,0.17952
m5.xlarge,0.236
m5a.xlarge,0.212
m5ad.xlarge,0.254
m5d.xlarge,0.278
m5zn.xlarge,0.406
m6i.xlarge,0.236
m6id.xlarge,0.2919
m6in.xlarge,0.33696
m6idn.xlarge,0.3861
m6g.xlarge,0.188
m6gd.xlarge,0.2224
m7i.xlarge,0.2478
m7i-flex.xlarge,0.23542
m7g.xlarge,0.2006
m7gd.xlarge,0.2627
m8i.xlarge,0.26018
m8g.xlarge,0.22068
r5.xlarge,0.304
r5a.xlarge,0.272
r5ad.xlarge,0.316
r5b.xlarge,0.356
r5d.xlarge,0.346
r5dn.xlarge,0.398
r5n.xlarge,0.356
r6i.xlarge,0.304
r6id.xlarge,0.3634
r6g.xlarge,0.244
r6gd.xlarge,0.2768
r7i.xlarge,0.3192
r7g.xlarge,0.2584
r7gd.xlarge,0.3271
r8i.xlarge,0.33516
r8i-flex.xlarge,0.3184
r8g.xlarge,0.28424
