instance,cold_start_avg,cold_start_std,seq_index_avg,seq_index_std,bulk_index_avg,bulk_index_std,search_match_all_avg,search_match_all_std,search_term_avg,search_term_std,gc_time_avg,gc_time_std
c5.xlarge,15274.80,616.74,2096.80,57.70,394.20,6.65,24.80,1.69,12.40,1.26,0.00,0.00
c5a.xlarge,14947.60,907.20,2304.40,135.75,386.00,11.89,26.20,3.61,14.00,0.94,0.00,0.00
c5d.xlarge,16262.00,1872.80,2174.67,194.64,477.33,119.27,27.00,2.37,12.67,1.86,0.00,0.00
c5n.xlarge,15378.80,426.52,2247.60,111.29,404.00,15.62,26.00,1.49,12.60,0.52,0.00,0.00
c6g.xlarge,15904.80,621.50,2320.00,210.27,452.80,8.78,26.20,1.55,13.60,1.07,0.00,0.00
c6gd.xlarge,16336.80,1142.93,2346.00,301.36,464.20,37.50,29.60,9.20,13.80,1.69,0.00,0.00
c6gn.xlarge,15650.40,173.92,2236.20,121.57,605.40,332.08,25.00,0.67,12.60,0.52,0.00,0.00
c6i.xlarge,14113.40,1145.33,2059.40,393.50,354.20,29.25,21.00,1.89,10.20,1.40,0.00,0.00
c6id.xlarge,13099.00,789.90,1675.20,121.19,332.00,19.75,21.20,2.62,9.60,1.43,0.00,0.00
c6in.xlarge,13840.20,982.76,1886.40,293.44,345.40,29.74,22.80,2.78,10.60,1.84,0.00,0.00
c7g.xlarge,12471.00,523.37,1948.00,71.41,332.75,20.60,21.00,0.76,11.25,0.46,0.00,0.00
c7gd.xlarge,11396.60,165.29,1641.20,44.07,336.80,24.47,19.00,0.94,9.20,0.42,0.00,0.00
c7i-flex.xlarge,9956.40,685.18,1703.00,222.01,271.80,11.69,17.60,1.71,9.80,1.03,0.00,0.00
c7i.xlarge,12662.80,960.06,1929.60,308.22,324.20,34.79,21.60,2.72,10.80,1.93,0.00,0.00
c8g.xlarge,9123.80,412.88,1467.40,83.88,229.60,14.21,16.40,0.84,9.00,0.94,0.00,0.00
c8i-flex.xlarge,9718.00,684.67,1546.60,123.08,254.60,18.19,15.60,0.52,7.20,0.42,0.00,0.00
c8i.xlarge,9172.00,485.87,1477.60,250.72,268.40,37.34,15.00,0.67,7.20,0.42,0.00,0.00
m5.xlarge,16738.25,1337.49,2358.50,197.14,418.75,4.43,27.75,1.39,12.25,1.39,11.25,20.83
m5a.xlarge,22288.40,1133.93,3273.20,134.89,537.40,19.93,35.80,1.23,19.60,1.26,0.00,0.00
m5ad.xlarge,22206.50,701.12,3327.00,162.86,522.00,18.50,37.00,2.00,20.50,1.20,9.25,17.13
m5d.xlarge,17308.40,1097.90,2530.20,203.57,425.80,14.29,28.20,1.23,14.00,1.15,0.00,0.00
m5zn.xlarge,13029.40,705.46,1790.40,45.15,385.40,52.62,22.00,2.75,10.60,2.37,0.00,0.00
m6g.xlarge,16696.50,941.73,2409.50,200.26,500.50,72.39,29.75,5.82,14.50,1.60,0.00,0.00
m6gd.xlarge,15645.20,760.08,2289.60,226.13,450.00,23.94,25.20,1.03,13.20,1.69,0.00,0.00
m6i.xlarge,14010.20,953.21,1824.20,213.06,341.40,23.00,21.40,1.26,10.00,0.67,0.00,0.00
m6id.xlarge,13240.25,615.98,1798.50,75.51,340.50,5.53,21.25,1.58,8.75,0.89,0.00,0.00
m6idn.xlarge,13423.80,611.36,1792.60,167.73,335.60,13.14,21.40,4.60,9.20,0.79,0.00,0.00
m6in.xlarge,13936.80,1136.04,2008.40,394.67,353.20,23.27,22.80,3.85,10.60,2.88,0.00,0.00
m7g.xlarge,12476.00,1026.34,1723.00,113.73,337.00,18.31,21.25,1.16,11.00,0.76,0.00,0.00
m7gd.xlarge,11891.20,626.00,1717.80,101.47,339.20,33.37,20.40,1.84,10.40,1.43,0.00,0.00
m7i-flex.xlarge,11355.25,700.77,2219.00,216.62,286.50,14.15,21.25,1.58,12.25,1.39,0.00,0.00
m7i.xlarge,11704.20,604.34,1805.00,286.30,306.00,16.08,20.20,3.29,10.00,1.15,0.00,0.00
m8g.xlarge,8908.25,402.05,1420.25,101.57,223.50,17.11,15.00,1.31,8.25,0.89,0.00,0.00
m8i.xlarge,9913.00,728.84,1504.20,101.89,271.80,21.19,15.20,0.79,7.20,0.79,0.00,0.00
r5.xlarge,16785.40,494.85,2385.20,150.95,434.20,30.45,28.20,1.55,14.00,1.49,0.00,0.00
r5a.xlarge,21635.50,509.57,3191.25,44.58,574.50,12.80,36.25,2.05,19.75,1.58,0.00,0.00
r5ad.xlarge,22273.20,285.93,3269.80,121.03,569.20,23.18,38.20,2.86,18.60,0.52,7.20,15.18
r5b.xlarge,17530.40,399.18,2169.00,139.88,402.80,18.05,25.80,1.03,12.00,1.49,0.00,0.00
r5d.xlarge,16093.60,725.95,2316.00,346.76,430.00,36.13,25.60,2.07,11.60,0.84,0.00,0.00
r5dn.xlarge,17113.00,712.14,2206.20,115.47,420.40,19.39,26.00,2.91,12.40,2.27,9.00,18.97
r5n.xlarge,16615.40,805.51,2167.00,84.78,432.60,15.18,26.40,1.43,12.20,1.03,0.00,0.00
r6g.xlarge,15995.75,483.58,2311.00,273.23,552.00,164.86,26.50,1.77,13.00,0.76,0.00,0.00
r6gd.xlarge,16145.40,424.72,2292.20,160.99,451.80,11.88,25.80,3.97,15.80,6.48,0.00,0.00
r6i.xlarge,13354.20,513.56,1912.40,146.47,349.80,10.32,21.00,2.31,10.20,1.40,0.00,0.00
r6id.xlarge,13658.40,439.67,1932.20,156.41,371.80,24.45,22.80,1.93,11.00,0.67,5.60,11.81
r7g.xlarge,12179.75,709.94,1874.00,204.63,332.50,44.56,21.75,2.19,11.00,1.51,0.00,0.00
r7gd.xlarge,11610.00,349.41,1708.00,153.55,347.60,42.18,20.40,2.17,11.00,1.89,0.00,0.00
r7i.xlarge,10672.00,837.76,1960.60,589.79,287.80,19.88,16.80,0.79,8.40,1.07,0.00,0.00
r8g.xlarge,9645.75,728.63,1604.25,618.82,275.00,120.73,15.50,1.20,8.25,1.39,0.00,0.00
r8i-flex.xlarge,10107.00,742.33,1685.80,396.06,284.00,33.46,18.20,3.74,8.80,2.78,0.00,0.00
r8i.xlarge,10813.20,2251.69,1874.00,434.74,286.00,57.08,18.20,7.87,9.20,4.13,0.00,0.00
