instance,cold_start_avg,cold_start_std,bulk_index_avg,bulk_index_std,search_match_all_avg,search_match_all_std
15272.00,653.70,0.00,0.00,0.00,0.00,
14942.00,962.22,0.00,0.00,0.00,0.00,
15710.00,1753.64,0.00,0.00,0.00,0.00,
15376.00,454.07,0.00,0.00,0.00,0.00,
15902.00,659.22,0.00,0.00,0.00,0.00,
16332.00,1213.39,0.00,0.00,0.00,0.00,
15648.00,184.58,0.00,0.00,0.00,0.00,
14108.00,1214.90,0.00,0.00,0.00,0.00,
13096.00,835.03,0.00,0.00,0.00,0.00,
13834.00,1042.39,0.00,0.00,0.00,0.00,
12472.00,490.89,0.00,0.00,0.00,0.00,
11392.00,174.41,0.00,0.00,0.00,0.00,
9950.00,727.84,0.00,0.00,0.00,0.00,
12658.00,1020.57,0.00,0.00,0.00,0.00,
9120.00,438.46,0.00,0.00,0.00,0.00,
9714.00,725.93,0.00,0.00,0.00,0.00,
9168.00,515.97,0.00,0.00,0.00,0.00,
16702.00,1250.65,0.00,0.00,0.00,0.00,
22286.00,1203.40,0.00,0.00,0.00,0.00,
22262.00,671.21,0.00,0.00,0.00,0.00,
17302.00,1164.12,0.00,0.00,0.00,0.00,
13024.00,749.29,0.00,0.00,0.00,0.00,
16694.00,881.66,0.00,0.00,0.00,0.00,
15640.00,806.26,0.00,0.00,0.00,0.00,
14008.00,1010.08,0.00,0.00,0.00,0.00,
12986.00,799.08,0.00,0.00,0.00,0.00,
13418.00,647.39,0.00,0.00,0.00,0.00,
13934.00,1206.12,0.00,0.00,0.00,0.00,
12368.00,985.83,0.00,0.00,0.00,0.00,
11888.00,665.60,0.00,0.00,0.00,0.00,
11268.00,679.32,0.00,0.00,0.00,0.00,
11700.00,640.04,0.00,0.00,0.00,0.00,
9026.00,464.41,0.00,0.00,0.00,0.00,
9908.00,775.54,0.00,0.00,0.00,0.00,
16782.00,526.85,0.00,0.00,0.00,0.00,
21674.00,483.04,0.00,0.00,0.00,0.00,
22270.00,303.48,0.00,0.00,0.00,0.00,
17526.00,423.71,0.00,0.00,0.00,0.00,
16088.00,769.85,0.00,0.00,0.00,0.00,
17108.00,754.70,0.00,0.00,0.00,0.00,
16610.00,856.07,0.00,0.00,0.00,0.00,
15878.00,520.40,0.00,0.00,0.00,0.00,
16140.00,450.94,0.00,0.00,0.00,0.00,
13348.00,545.27,0.00,0.00,0.00,0.00,
13654.00,464.25,0.00,0.00,0.00,0.00,
12084.00,694.79,0.00,0.00,0.00,0.00,
11606.00,368.08,0.00,0.00,0.00,0.00,
10670.00,887.83,0.00,0.00,0.00,0.00,
9522.00,729.74,0.00,0.00,0.00,0.00,
10100.00,790.47,0.00,0.00,0.00,0.00,
9712.00,436.31,0.00,0.00,0.00,0.00,
