Instance Type,Requests/sec
c5.xlarge,142700
c5a.xlarge,133384
c5d.xlarge,131774
c5n.xlarge,113902
c6gn.xlarge,186361
c6i.xlarge,133709
c6id.xlarge,140529
c6in.xlarge,156870
c7g.xlarge,187620
c7gd.xlarge,200045
c7i-flex.xlarge,145297
c7i.xlarge,143316
c8i-flex.xlarge,146309
c8i.xlarge,153433
m5.xlarge,129020
m5a.xlarge,99171
m5ad.xlarge,98174
m5d.xlarge,128280
m5zn.xlarge,197702
m6g.xlarge,0
m6i.xlarge,143643
m6id.xlarge,211095
m7g.xlarge,202624
m7i-flex.xlarge,194468
m7i.xlarge,138807
m8i.xlarge,182984
r5a.xlarge,98778
r5ad.xlarge,100371
r5d.xlarge,147745
r5dn.xlarge,154621
r6gd.xlarge,181254
r6id.xlarge,176627
r8i-flex.xlarge,184438
r8i.xlarge,191102
