instance,rps_50c,rps_100c,rps_200c
c5.xlarge,33784.19,36163.90,36928.00
c5a.xlarge,29926.75,30799.01,30229.73
c5d.xlarge,35376.57,37856.50,37591.73
c5n.xlarge,33531.41,36431.76,37443.59
c6g.xlarge,26156.88,28388.23,29893.12
c6gd.xlarge,26812.61,29163.16,30777.43
c6gn.xlarge,26990.65,29313.00,31094.22
c6i.xlarge,44898.87,48053.63,49769.77
c6id.xlarge,43705.69,49392.37,50250.86
c6in.xlarge,46573.35,49696.65,51140.03
c7g.xlarge,38744.96,42135.08,45393.05
c7gd.xlarge,39262.42,41412.19,44319.97
c7i-flex.xlarge,44589.08,66839.52,77820.42
c7i.xlarge,53205.68,60567.70,67057.21
c8g.xlarge,56046.38,65680.15,71116.69
c8i-flex.xlarge,35776.37,64148.22,78145.18
c8i.xlarge,39661.53,69359.11,88730.75
m5.xlarge,32744.45,34893.20,34184.88
m5a.xlarge,21888.08,22797.76,22736.06
m5ad.xlarge,22527.20,23292.00,22913.68
m5d.xlarge,31125.21,34099.96,34125.95
m5zn.xlarge,39527.36,40875.60,41648.88
m6g.xlarge,27489.39,29045.43,30644.34
m6gd.xlarge,27394.12,29552.17,31631.42
m6i.xlarge,44597.54,48152.15,50469.75
m6id.xlarge,44791.59,49243.51,50284.54
m6idn.xlarge,39888.34,48018.65,50417.48
m6in.xlarge,39094.32,46333.85,48531.66
m7g.xlarge,36197.78,40904.41,44549.37
m7gd.xlarge,36853.13,41143.33,44509.83
m7i-flex.xlarge,58105.03,89513.70,96867.76
m7i.xlarge,51889.16,63478.64,68678.34
m8g.xlarge,52996.73,66051.00,72461.44
m8i.xlarge,39470.65,68450.88,88015.00
r5.xlarge,31759.07,33051.07,31821.48
r5a.xlarge,22201.61,23169.35,22880.21
r5ad.xlarge,23190.63,23963.28,23643.57
r5b.xlarge,32465.38,34375.83,34411.14
r5d.xlarge,32755.25,34681.73,34669.20
r5dn.xlarge,32745.17,33681.89,33867.19
r5n.xlarge,31987.47,33885.90,33644.89
r6g.xlarge,27641.23,29617.37,31384.39
r6gd.xlarge,27464.02,29797.52,31189.71
r6i.xlarge,45205.42,49166.67,50796.31
r6id.xlarge,42646.57,47548.55,49331.11
r7g.xlarge,39432.66,43228.32,45979.13
r7gd.xlarge,36524.78,42105.25,45324.82
r7i.xlarge,57684.39,67454.49,73007.68
r8g.xlarge,57027.16,67110.62,70776.52
r8i-flex.xlarge,44774.85,70571.09,91266.52
r8i.xlarge,52300.72,75644.65,88913.68
