instance,matrix_bogo_ops,cpu_float_bogo_ops,cpu_int_bogo_ops,memcpy_bogo_ops,cache_bogo_ops,switch_bogo_ops,branch_bogo_ops
c5.xlarge,8068.47,0,0,949.91,17.82,726612.68,420464.26
c5a.xlarge,7440.63,0,0,998.94,108.60,451881.03,388544.45
c5d.xlarge,8716.46,0,0,860.05,24.63,631525.35,374015.17
c5n.xlarge,8593.23,0,0,857.15,20.32,654782.60,372644.76
c6g.xlarge,14553.22,0,0,832.25,17.01,1118847.28,523823.66
c6gd.xlarge,14493.76,0,0,825.43,19.34,1118319.25,521655.23
c6gn.xlarge,14517.59,0,0,825.15,17.80,1124536.55,523245.75
c6i.xlarge,10137.40,0,0,822.34,9.27,942070.38,354640.36
c6id.xlarge,9409.43,0,0,806.27,10.03,942290.13,355043.37
c6in.xlarge,10166.33,0,0,814.26,10.97,941608.59,354392.52
c7g.xlarge,18429.61,0,0,1692.74,31.18,1319107.93,543920.56
c7gd.xlarge,18586.88,0,0,1696.61,32.85,1318728.34,545957.35
c7i-flex.xlarge,12398.62,0,0,927.19,3.73,1313700.69,363466.96
c7i.xlarge,10514.22,0,0,900.35,2.95,1212701.54,349469.18
c8g.xlarge,22727.88,0,0,1752.72,22.07,1888357.59,618085.65
c8i-flex.xlarge,10330.63,0,0,1125.74,0.73,1312146.09,346725.12
c8i.xlarge,12556.36,0,0,1165.42,0.88,1595959.20,384574.15
m5.xlarge,6707.92,0,0,790.00,12.55,583874.20,340224.42
m5a.xlarge,6201.53,0,0,776.04,72.17,346630.93,298144.29
m5ad.xlarge,6207.23,0,0,774.22,74.27,349230.45,298910.08
m5d.xlarge,6605.23,0,0,792.98,15.28,595598.45,340125.44
m5zn.xlarge,9924.63,0,0,1088.72,28.33,860642.97,498115.76
m6g.xlarge,14453.15,0,0,827.88,16.03,1125772.09,522888.59
m6gd.xlarge,14394.75,0,0,828.83,16.61,1123936.76,522951.18
m6i.xlarge,9061.49,0,0,825.16,10.38,944171.34,354885.11
m6id.xlarge,8660.63,0,0,810.23,7.80,937220.72,352413.54
m6idn.xlarge,9345.03,0,0,815.43,11.68,946796.52,356183.11
m6in.xlarge,9108.40,0,0,810.77,9.28,945304.47,355384.58
m7g.xlarge,18517.38,0,0,1691.63,26.57,1327465.64,544822.05
m7gd.xlarge,19824.68,0,0,1699.81,29.28,1318104.56,545823.05
m7i-flex.xlarge,9459.99,0,0,817.91,4.57,1159393.83,321896.35
m7i.xlarge,10028.22,0,0,873.00,2.93,1196903.29,337528.96
m8g.xlarge,22813.45,0,0,1804.43,28.12,1921438.46,617123.52
m8i.xlarge,12471.93,0,0,1144.52,0.80,1584504.17,383961.65
r5.xlarge,6697.63,0,0,789.18,13.00,592958.77,342291.34
r5a.xlarge,6297.90,0,0,752.86,68.75,345508.45,299982.82
r5ad.xlarge,7199.99,0,0,773.90,72.40,333126.71,250484.38
r5b.xlarge,7500.56,0,0,826.35,16.97,609356.15,359145.21
r5d.xlarge,6689.15,0,0,789.31,13.57,590607.04,334915.52
r5dn.xlarge,6872.33,0,0,806.53,15.83,604412.74,347701.12
r5n.xlarge,6864.50,0,0,791.97,14.62,589445.42,342857.13
r6g.xlarge,14453.14,0,0,821.67,17.85,1132173.11,523331.42
r6gd.xlarge,14471.15,0,0,830.46,15.98,1117717.40,523365.32
r6i.xlarge,8981.24,0,0,819.61,9.92,948435.89,356449.71
r6id.xlarge,9332.66,0,0,815.99,10.83,945447.16,354346.58
r7g.xlarge,18509.65,0,0,1686.18,33.33,1327060.05,544283.73
r7gd.xlarge,18521.35,0,0,1696.90,26.53,1298823.11,545547.77
r7i.xlarge,9697.13,0,0,862.37,3.47,1169440.74,332334.22
r8g.xlarge,21589.72,0,0,1810.22,24.30,1937445.04,617730.37
r8i-flex.xlarge,11849.82,0,0,1180.75,0.73,1582952.12,383658.31
r8i.xlarge,12404.66,0,0,1150.65,0.73,1584425.46,381796.57
