instance,seq_write_mbps_avg,seq_write_mbps_std,seq_read_mbps_avg,seq_read_mbps_std,rand_write_mbps_avg,rand_write_mbps_std,rand_read_mbps_avg,rand_read_mbps_std
c5.xlarge,9914.15,1880.46,19977.70,1458.33,1007.94,52.11,0.00,0.00
c5a.xlarge,12180.80,1825.42,18667.40,3261.52,2105.41,0.00,0.00,0.00
c5d.xlarge,8433.34,0.00,14890.60,0.01,1015.21,0.00,0.00,0.00
c5n.xlarge,8539.81,915.72,16615.20,2485.98,1008.04,6.33,0.00,0.00
c6g.xlarge,5918.05,372.52,12815.90,1345.48,2897.40,178.78,0.00,0.00
c6gd.xlarge,5981.71,228.97,10442.60,0.01,2821.24,0.00,0.00,0.00
c6gn.xlarge,6823.99,227.60,13903.00,0.03,3290.36,0.00,0.00,0.00
c6i.xlarge,9479.84,1245.57,18668.20,1447.02,1041.14,25.74,0.00,0.00
c6id.xlarge,7382.47,1174.78,17268.90,1523.26,1016.85,0.00,0.00,0.00
c6in.xlarge,8125.01,1763.96,18361.40,1201.92,1060.20,0.00,0.00,0.00
c7g.xlarge,7570.42,751.47,12821.50,998.57,4623.75,0.00,0.00,0.00
c7gd.xlarge,7323.46,0.00,14429.30,0.00,0.00,0.00,0.00,0.00
c7i-flex.xlarge,7936.27,741.36,19167.60,613.62,841.45,8.36,0.00,0.00
c7i.xlarge,8502.09,0.00,18094.60,0.00,0.00,0.00,0.00,0.00
c8g.xlarge,8852.28,383.89,17731.20,263.27,5132.96,114.45,0.00,0.00
c8i-flex.xlarge,7171.48,1111.93,19413.70,2775.27,1059.43,84.81,0.00,0.00
c8i.xlarge,5564.93,751.78,20806.80,634.29,880.52,12.69,0.00,0.00
m5.xlarge,7579.94,0.00,13508.30,0.05,965.35,0.00,0.00,0.00
m5a.xlarge,7180.39,643.65,14412.80,2120.32,1550.56,4.61,0.00,0.00
m5ad.xlarge,6805.50,73.50,12726.40,73.33,1550.49,0.00,0.00,0.00
m5d.xlarge,10468.60,0.07,18359.10,0.03,984.56,0.00,0.00,0.00
m5zn.xlarge,5839.66,0.00,21643.50,0.05,1081.59,0.00,0.00,0.00
m6g.xlarge,6054.29,760.38,10628.80,0.06,3036.35,0.00,0.00,0.00
m6gd.xlarge,5831.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00
m6i.xlarge,9000.46,1436.46,18242.70,1661.26,997.62,17.65,0.00,0.00
m6id.xlarge,9200.64,1535.53,17173.40,2793.74,1001.35,47.12,0.00,0.00
m6idn.xlarge,10149.40,380.23,19439.20,772.10,1080.98,0.00,0.00,0.00
m6in.xlarge,8816.12,1403.16,16784.70,2052.77,1036.02,18.88,0.00,0.00
m7g.xlarge,7980.47,830.72,12190.30,883.38,4606.82,162.63,0.00,0.00
m7gd.xlarge,7772.25,221.17,12817.40,465.68,4497.33,46.49,0.00,0.00
m7i-flex.xlarge,7365.62,445.23,16903.10,1616.71,912.58,96.87,0.00,0.00
m7i.xlarge,7248.06,1151.59,17482.90,2199.17,838.20,39.25,0.00,0.00
m8g.xlarge,9237.22,684.75,16297.60,912.21,4963.12,92.53,0.00,0.00
m8i.xlarge,6650.14,591.58,18227.80,2326.72,957.91,48.07,0.00,0.00
r5.xlarge,8617.56,703.14,14821.50,1019.46,974.42,26.50,0.00,0.00
r5a.xlarge,7840.89,685.54,15057.40,2408.10,1557.13,6.01,0.00,0.00
r5ad.xlarge,7602.45,657.65,13560.80,2136.98,1543.12,7.79,0.00,0.00
r5b.xlarge,8628.01,1329.18,13806.10,168.00,924.86,0.00,0.00,0.00
r5d.xlarge,9951.73,543.33,15294.40,1620.06,989.33,5.71,0.00,0.00
r5dn.xlarge,9056.22,1673.87,15400.90,2946.86,950.87,40.04,0.00,0.00
r5n.xlarge,9828.20,696.38,14827.50,1476.55,1010.22,19.65,0.00,0.00
r6g.xlarge,5761.68,672.08,11250.50,748.00,3141.68,76.24,0.00,0.00
r6gd.xlarge,5423.86,282.68,11908.40,267.13,3178.87,54.67,0.00,0.00
r6i.xlarge,8636.89,1406.05,16116.40,1851.65,1032.58,28.11,0.00,0.00
r6id.xlarge,9438.65,1496.30,18113.90,2381.39,1075.54,0.00,0.00,0.00
r7g.xlarge,8208.55,200.54,13243.60,672.16,4647.40,39.50,0.00,0.00
r7gd.xlarge,8326.84,830.02,12934.80,1629.39,4890.49,124.93,0.00,0.00
r7i.xlarge,6804.26,802.21,16956.20,3074.89,805.49,0.00,0.00,0.00
r8g.xlarge,10311.80,252.32,17936.60,2567.29,5157.45,0.00,0.00,0.00
r8i-flex.xlarge,7538.55,752.54,19900.00,1395.20,954.80,22.82,0.00,0.00
r8i.xlarge,6065.86,564.80,20554.60,753.77,940.44,0.00,0.00,0.00
